timestamp,src_ip,dst_ip,port,bytes,protocol,status,label,anomaly_type
2024-01-01T00:02:48.844031Z,192.168.2.112,203.0.113.1,25,597,TCP,TIMEOUT,normal,
2024-01-01T00:03:28.617086Z,10.0.0.224,10.0.0.109,5432,1082,UDP,RESET,normal,
2024-01-01T00:06:38.250484Z,192.168.1.191,203.0.113.9,587,2624,TCP,RESET,normal,
2024-01-01T00:10:43.385130Z,10.0.0.55,10.0.0.122,443,1251,UDP,OK,normal,
2024-01-01T00:16:50.483708Z,192.168.1.203,203.0.113.24,53,1180,TCP,OK,normal,
2024-01-01T00:17:20.371914Z,10.0.0.229,203.0.113.5,22,294,UDP,TIMEOUT,normal,
2024-01-01T00:17:55.404041Z,10.0.0.93,203.0.113.16,80,1465,TCP,OK,normal,
2024-01-01T00:21:07.457437Z,192.168.2.146,10.0.0.16,3306,2694,TCP,OK,normal,
2024-01-01T00:26:00.355618Z,192.168.2.114,192.168.1.219,8080,2574,UDP,OK,normal,
2024-01-01T00:29:36.066643Z,192.168.1.173,203.0.113.1,587,442,TCP,RESET,normal,
2024-01-01T00:32:29.309398Z,10.0.0.198,10.0.0.208,53,722,TCP,OK,normal,
2024-01-01T00:34:43.890277Z,192.168.1.141,203.0.113.17,443,347,UDP,OK,normal,
2024-01-01T00:39:59.149747Z,192.168.1.36,203.0.113.26,25,447,TCP,OK,normal,
2024-01-01T00:45:22.021347Z,10.0.0.69,192.168.1.187,8443,1346,TCP,TIMEOUT,normal,
2024-01-01T01:00:48.590278Z,192.168.2.115,192.168.2.97,8080,2242,TCP,OK,normal,
2024-01-01T01:10:53.390423Z,192.168.2.53,203.0.113.23,5432,1394,UDP,TIMEOUT,normal,
2024-01-01T01:13:27.931152Z,192.168.1.77,203.0.113.9,443,64,TCP,OK,normal,
2024-01-01T01:34:06.701283Z,192.168.2.249,192.168.2.116,22,934,UDP,TIMEOUT,normal,
2024-01-01T01:39:08.493354Z,10.0.0.209,203.0.113.13,25,2112,TCP,OK,normal,
2024-01-01T01:41:27.991351Z,10.0.0.62,203.0.113.20,8080,296,TCP,OK,anomaly,beaconing
2024-01-01T01:41:52.390734Z,10.0.0.168,203.0.113.9,3306,1007,UDP,OK,normal,
2024-01-01T01:42:19.495612Z,10.0.0.225,10.0.0.199,22,869,TCP,OK,normal,
2024-01-01T02:03:23.437340Z,192.168.2.1,10.0.0.130,80,944,TCP,OK,normal,
2024-01-01T02:08:56.458110Z,10.0.0.76,10.0.0.179,587,1786,UDP,OK,normal,
2024-01-01T02:10:10.114455Z,192.168.1.225,203.0.113.18,80,598,TCP,OK,normal,
2024-01-01T02:10:57.253176Z,192.168.1.203,10.0.0.157,80,1738,TCP,OK,normal,
2024-01-01T02:14:11.825884Z,10.0.0.98,203.0.113.2,8080,2121,TCP,OK,normal,
2024-01-01T02:18:22.714777Z,10.0.0.13,192.168.1.99,8443,527,UDP,TIMEOUT,normal,
2024-01-01T02:28:23.442865Z,192.168.2.169,10.0.0.46,53,1554,TCP,OK,normal,
2024-01-01T02:31:49.247194Z,192.168.2.248,192.168.1.10,8080,2413,TCP,OK,normal,
2024-01-01T02:33:40.490738Z,10.0.0.246,192.168.1.23,8443,1313,TCP,OK,normal,
2024-01-01T02:37:03.210172Z,192.168.1.159,203.0.113.18,22,3008,TCP,OK,normal,
2024-01-01T02:40:12.076088Z,192.168.2.168,10.0.0.101,587,1624,TCP,OK,normal,
2024-01-01T02:43:49.725102Z,192.168.1.13,203.0.113.14,22,2149,TCP,OK,normal,
2024-01-01T03:07:10.349359Z,192.168.2.228,203.0.113.6,80,1625,TCP,TIMEOUT,normal,
2024-01-01T03:10:41.699614Z,192.168.2.113,203.0.113.16,22,996,TCP,TIMEOUT,normal,
2024-01-01T03:14:50.238477Z,192.168.1.173,203.0.113.18,8443,1279,TCP,RESET,normal,
2024-01-01T03:15:42.142755Z,192.168.1.67,203.0.113.19,5432,1762,TCP,OK,normal,
2024-01-01T03:16:50.963412Z,192.168.2.32,192.168.1.194,53,1111,UDP,OK,normal,
2024-01-01T03:22:05.438935Z,192.168.1.239,203.0.113.23,80,2161,TCP,OK,normal,
2024-01-01T03:24:02.360324Z,10.0.0.169,203.0.113.10,443,2306,UDP,OK,normal,
2024-01-01T03:37:18.250756Z,192.168.1.3,192.168.1.69,587,1557,TCP,TIMEOUT,normal,
2024-01-01T03:39:26.090757Z,192.168.2.166,192.168.2.50,443,1664,TCP,OK,normal,
2024-01-01T03:41:15.019059Z,192.168.1.137,203.0.113.12,587,472,TCP,TIMEOUT,normal,
2024-01-01T03:44:27.652392Z,192.168.2.81,192.168.1.209,53,1307,UDP,OK,normal,
2024-01-01T03:54:19.066613Z,192.168.2.146,192.168.2.74,53,1904,TCP,TIMEOUT,normal,
2024-01-01T03:54:41.434934Z,192.168.2.145,192.168.2.177,443,1428,TCP,RESET,normal,
2024-01-01T03:55:14.839000Z,192.168.1.27,203.0.113.27,8443,1688,TCP,OK,normal,
2024-01-01T03:56:22.746938Z,192.168.2.172,203.0.113.16,443,2516,UDP,OK,normal,
2024-01-01T03:58:12.246571Z,10.0.0.122,192.168.2.195,443,1899,UDP,OK,normal,
2024-01-01T04:01:14.325513Z,192.168.1.7,203.0.113.28,3306,747,UDP,TIMEOUT,normal,
2024-01-01T04:04:08.005610Z,10.0.0.188,203.0.113.15,22,822,TCP,RESET,normal,
2024-01-01T04:05:49.548218Z,192.168.2.220,192.168.2.103,53,1143,UDP,TIMEOUT,normal,
2024-01-01T04:06:06.370459Z,192.168.1.211,203.0.113.24,22,2099,UDP,OK,normal,
2024-01-01T04:06:48.886883Z,192.168.1.146,192.168.2.96,53,64,TCP,OK,normal,
2024-01-01T04:18:21.144197Z,10.0.0.1,203.0.113.2,25,512,UDP,TIMEOUT,normal,
2024-01-01T04:25:10.455680Z,192.168.2.10,192.168.1.156,8443,217,UDP,RESET,normal,
2024-01-01T04:27:52.248822Z,10.0.0.210,203.0.113.23,443,710,TCP,TIMEOUT,normal,
2024-01-01T04:35:49.644864Z,192.168.2.9,203.0.113.5,80,1366,UDP,TIMEOUT,normal,
2024-01-01T04:42:12.455953Z,192.168.1.147,192.168.1.138,587,777,UDP,OK,normal,
2024-01-01T04:50:09.090949Z,10.0.0.99,192.168.2.103,5432,2388,UDP,TIMEOUT,normal,
2024-01-01T04:50:26.776302Z,192.168.1.226,203.0.113.12,5432,1941,UDP,OK,normal,
2024-01-01T04:54:48.672803Z,192.168.2.83,203.0.113.17,443,845,TCP,OK,normal,
2024-01-01T04:57:03.383739Z,10.0.0.207,203.0.113.14,53,1865,TCP,OK,normal,
2024-01-01T05:06:16.888228Z,192.168.2.142,203.0.113.5,8443,428,UDP,OK,normal,
2024-01-01T05:09:02.906180Z,10.0.0.59,203.0.113.29,3306,535,TCP,OK,normal,
2024-01-01T05:09:51.110631Z,10.0.0.204,203.0.113.3,22,1443,UDP,OK,normal,
2024-01-01T05:10:35.775468Z,192.168.2.22,192.168.2.51,587,1324,UDP,OK,normal,
2024-01-01T05:12:18.175553Z,192.168.2.72,192.168.1.53,5432,1472,UDP,RESET,normal,
2024-01-01T05:17:12.992689Z,10.0.0.100,10.0.0.131,22,262,TCP,OK,normal,
2024-01-01T05:18:07.357095Z,192.168.1.137,203.0.113.10,3306,906,UDP,RESET,normal,
2024-01-01T05:25:02.553361Z,10.0.0.167,192.168.1.37,587,2235,UDP,OK,normal,
2024-01-01T05:26:10.525730Z,192.168.1.169,203.0.113.17,22,1664,TCP,OK,normal,
2024-01-01T05:28:57.412004Z,192.168.2.186,203.0.113.11,8443,1107,UDP,OK,normal,
2024-01-01T05:30:11.826273Z,10.0.0.76,192.168.1.191,22,1340,UDP,OK,normal,
2024-01-01T05:33:05.886748Z,192.168.2.177,203.0.113.8,8443,64,UDP,RESET,normal,
2024-01-01T05:38:07.184837Z,10.0.0.97,203.0.113.28,80,2347,TCP,TIMEOUT,normal,
